source,relative_path,speaker,label,status,audio_hash,duration,retained_seconds,rms,clipping_fraction,reason,split
CREMA-D,1001_DFA_ANG_XX.wav,CREMA-D:1001,angry,accepted,51d460cffa6631cc7a512deeb2c9bc1ab43be429cc159d36b50d5c809379e3c1,2.2755625,2.2755625,0.06459117458908557,0.0,,train
CREMA-D,1001_DFA_DIS_XX.wav,CREMA-D:1001,disgust,accepted,2c54b74510c78243a952192ace35c7fd6024f7b9d2aaaa58a174a24d97bfdf90,2.3356875,2.3356875,0.02233461678195398,0.0,,train
CREMA-D,1001_DFA_FEA_XX.wav,CREMA-D:1001,fear,accepted,3423cf7bbeb0abd4a2a07a8762479e29118b49bb1e177ab8d045f10ce8b5b268,2.1688125,2.1688125,0.07671268699936463,0.0,,train
CREMA-D,1001_DFA_HAP_XX.wav,CREMA-D:1001,happy,accepted,78dcaedc67d2eea048dc8bba3fe3fd9e88e4df884ac3c09e80c15ce59c06c1ca,1.8685,1.8685,0.06437881832940079,0.0,,train
CREMA-D,1001_DFA_NEU_XX.wav,CREMA-D:1001,neutral,accepted,272a637dad7908d050476f7e6c71867d0fdb08bc81b87986c41a9ddb87e91dfb,2.035375,2.035375,0.030515412102926107,0.0,,train
CREMA-D,1001_DFA_SAD_XX.wav,CREMA-D:1001,sad,accepted,a022b7648dfee720f0f1700065aeafc9bf79b64b8392be1ad692d18b1bf9af88,2.002,2.002,0.016658533828114046,0.0,,train
CREMA-D,1001_IEO_ANG_HI.wav,CREMA-D:1001,angry,accepted,2ad0ce9da46a759bebb0632e9a09be25dd6a7dbfb29d53b2686452c6888d3d38,1.93525,1.93525,0.07220849212235426,0.0,,train
CREMA-D,1001_IEO_ANG_LO.wav,CREMA-D:1001,angry,accepted,d8eee0a518a21dd89d441bb11ae3b664ca8ea185bf34b689a9580ba4240f8bd0,2.06875,2.06875,0.025650531363276347,0.0,,train
CREMA-D,1001_IEO_ANG_MD.wav,CREMA-D:1001,angry,accepted,d9985976ebe772bf5b21cc4e2c33a68bb31974d05e27ab0afd011f67c9f8ca15,2.6359375,2.6359375,0.02842677756067737,0.0,,train
CREMA-D,1001_IEO_DIS_HI.wav,CREMA-D:1001,disgust,accepted,b2d5958e7b3b8e87075d8ac38aaebb5069cfc473f95070c1d999f56297adbfd2,2.002,2.002,0.04497887425281264,0.0,,train
CREMA-D,1001_IEO_DIS_LO.wav,CREMA-D:1001,disgust,accepted,3cbb1da0569c8f4c85274415adf1ed49765c544ce0817fe31c755b7456f447a4,2.002,2.002,0.0071914855457110545,0.0,,train
CREMA-D,1001_IEO_DIS_MD.wav,CREMA-D:1001,disgust,accepted,c89a38c82b49a809bea52e48dc683475bdfd41f0b7f1b33fdfab92ee8598986d,1.901875,1.901875,0.019897178874802572,0.0,,train
CREMA-D,1001_IEO_FEA_HI.wav,CREMA-D:1001,fear,accepted,1985991f008c318e90012d1e2905558e63926eae2552ac089f59b5fbe5829d21,1.56825,1.51,0.09181779560321533,0.0,,train
CREMA-D,1001_IEO_FEA_LO.wav,CREMA-D:1001,fear,accepted,1d46e056b79a507d5eb486536d3004fa771292da313aee4abb5e43f653122cb6,1.534875,1.534875,0.026855171848896273,0.0,,train
CREMA-D,1001_IEO_FEA_MD.wav,CREMA-D:1001,fear,accepted,201ab473d47f0df3865e61546abcd565a841f7894ef33b911003c9059f86493d,1.601625,1.601625,0.045416908153892224,0.0,,train
CREMA-D,1001_IEO_HAP_HI.wav,CREMA-D:1001,happy,accepted,88561f06f686fbc765717d3225a28a3c9b29b9ab255cd5aef102906729be759b,1.7684375,1.7684375,0.08948116338358296,0.0,,train
CREMA-D,1001_IEO_HAP_LO.wav,CREMA-D:1001,happy,accepted,6d08f8d539ef9be7f2659c87975f7307934a5c610b140587a2c87e1fcc8ddbe1,1.7016875,1.7016875,0.026202592736003835,0.0,,train
